phecodes	weight	latent_factor	phenotype	description	group
649.1	34.5325476283589	V6	649.1	Diabetes or abnormal glucose tolerance complicating pregnancy	pregnancy complications
250	16.5230197462961	V6	250	Diabetes mellitus	endocrine/metabolic
250.2	12.0599238708693	V6	250.2	Type 2 diabetes	endocrine/metabolic
250.1	8.7571953550173	V6	250.1	Type 1 diabetes	endocrine/metabolic
250.3	5.98183333458296	V6	250.3	Insulin pump user	endocrine/metabolic
250.7	0.979460535406018	V6	250.7	Diabetic retinopathy	endocrine/metabolic
250.11	0.882792500118395	V6	250.11	Type 1 diabetes with ketoacidosis	endocrine/metabolic
251.1	0.818880988122916	V6	251.1	Hypoglycemia	endocrine/metabolic
250.13	0.687745313352074	V6	250.13	Type 1 diabetes with ophthalmic manifestations	endocrine/metabolic
250.12	0.631176214574941	V6	250.12	Type 1 diabetes with renal manifestations	endocrine/metabolic
