outcome	predictor	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note
binary_delivery	008	NA	NA	NA	NA	NA	NA	6653	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	008.5	NA	12.365009326166133	196.96768218831963	234452.74346751903	0.9499442058341869	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	008.51	NA	NA	NA	NA	NA	NA	6653	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	008.52	NA	0.8558693165501586	1.0013445441489637	2.3534193579771205	0.3927061161026508	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	008.6	NA	2.2649361057788693	1.1192641448830205	9.63050924756426	0.043011952305110686	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	008.7	NA	NA	NA	NA	NA	NA	6653	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	010	NA	1.5860362510642958	1.227273874792523	4.8843501700330885	0.19624474725518326	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	031	NA	-10.766524432784484	196.96768436866716	2.1093946955519996e-5	0.9564082417195441	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	038	NA	0.8391427347772777	0.5022887937205138	2.3143820868389526	0.09479320625874789	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	038.1	NA	1.5057133823471365	1.2262902959800774	4.507367960363971	0.21949934999930146	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	038.2	NA	0.8847242205460185	1.4152308002998681	2.4223162743037907	0.5318760061427452	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	038.3	NA	1.0579311623208771	0.42317457480854814	2.8804057289147798	0.01241976762476058	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	041	NA	0.6483622988728496	0.3814031805087806	1.9124063130398705	0.08914232236624735	logistic	6653	1934	4719	NA	NA	0	
binary_delivery	041.1	NA	0.5417807781685252	0.7662865498098969	1.7190654122333882	0.47955335024808604	logistic	6653	1934	4719	NA	NA	0	
