outcome	predictor	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note
binary_delivery	008	NA	10.6981932014876	72.46285940397567	44275.7853939549	0.8826293183314874	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	008.5	NA	-9.503249606639121	84.42911517153783	7.460898567213644e-5	0.9103802589786789	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	008.51	NA	NA	NA	NA	NA	NA	22301	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	008.52	NA	0.8146471983824416	0.6076021357110828	2.2583787721002624	0.17999915734412875	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	008.6	NA	0.8829743801437642	1.414580384631993	2.4180813137531123	0.5324993551472083	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	008.7	NA	-8.848808800623004	72.46286209554783	1.435526342778064e-4	0.9028078726035728	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	010	NA	NA	NA	NA	NA	NA	22301	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	031	NA	NA	NA	NA	NA	NA	22301	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	038	NA	1.4520199465619574	0.40054579780727	4.271734481681904	2.888458230191953e-4	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	038.1	NA	1.2094017515629503	0.7676459197987612	3.3514790355853905	0.11514840821269791	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	038.2	NA	0.8925905984217458	0.5785504087987184	2.4414462727033093	0.12287803934878617	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	038.3	NA	1.6102557522296574	0.43508847131066114	5.004090871588558	2.1476447214581387e-4	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041	NA	1.5215730523914184	0.31310804277157006	4.579423204858394	1.1763604698607963e-6	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.1	NA	1.682204725684253	0.8700865688361867	5.377398600259049	0.053189862253381265	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.11	NA	1.0495183025857382	0.5194898750767941	2.856274926389326	0.043353694052555306	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.12	NA	1.5384070452856993	0.5084313899035628	4.657165704994364	0.0024798377638592765	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.2	NA	0.7899993589588077	0.41132764362012864	2.203395013788517	0.05478108572300508	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.21	NA	NA	NA	NA	NA	NA	22301	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	041.4	NA	0.7089711155566599	0.4046633555632998	2.031899592908529	0.07977341842979961	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.8	NA	-9.40815262086082	84.30496776331589	8.205238929528887e-5	0.9111432223232167	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	041.9	NA	1.1697782675911625	0.6740896553233396	3.2212782975387033	0.08267967501477531	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	053	NA	11.438738845162831	84.41215852632716	92849.84014790438	0.8922082158549801	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	053.1	NA	NA	NA	NA	NA	NA	22301	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	054	NA	0.308593450671825	0.2928443846930447	1.3615087375089479	0.29198381645889493	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	070	NA	0.7584683293966213	1.414673803263418	2.135003592601754	0.5918592976202957	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	070.1	NA	NA	NA	NA	NA	NA	22301	NA	NA	NA	NA	0	 [Error: non-varying phenotype or genotype]
binary_delivery	070.2	NA	-0.1993648152260332	0.8025119096404956	0.8192509635837213	0.8038048270194788	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	070.3	NA	0.532495346651395	0.1935865683036536	1.7031770274857458	0.005947110303786965	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	070.4	NA	1.7624566008925706	0.6030936901551887	5.826733786368561	0.0034739026589380496	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	070.9	NA	2.204051729017568	1.1561999894337616	9.061654588268606	0.056612674928018365	logistic	22301	5901	16400	NA	NA	0	
binary_delivery	071	NA	-0.7942252179353521	0.4867319645800204	0.4519312475383814	0.10273201734131827	logistic	22301	5901	16400	NA	NA	0	
